?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000047>	"TGMA:0000729"
<http://purl.obolibrary.org/obo/UBERON_0000047>	<http://en.wikipedia.org/wiki/Eye#Simple_eyes>
<http://purl.obolibrary.org/obo/BSPO_0000085>	"FBql:00005846"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"ZFA:0000008"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"GAID:571"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BIRNLEX:796"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MBA:8"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA:2641"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BAMS:Br"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA:6485"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"XAO:0000010"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://www.snomedbrowser.com/Codes/Details/258335003>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"galen:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MIAA:0000098"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EMAPA:16894"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"neuronames:21"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"FMA:50801"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"ABA:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://linkedlifedata.com/resource/umls/id/C1269537>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"UMLS:C1269537"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BILA:0000135"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA2:0000183"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EFO:0000302"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MAT:0000098"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"DHBA:10155"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"UMLS:C0006104"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BAMS:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"TAO:0000008"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"AAO:0010478"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"HBA:4005"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EV:0100164"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"NCIT:C12439"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MA:0000168"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://en.wikipedia.org/wiki/Brain>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"FBbt:00005095"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MESH:D001921"
