?x	?p	?y
<http://purl.obolibrary.org/obo/AISM_0000142>	<http://purl.obolibrary.org/obo/RO_0002371>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid1642
<http://purl.obolibrary.org/obo/AISM_0000031>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/AISM_0004169>
<http://purl.obolibrary.org/obo/AISM_0004007>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/AISM_0000190>
<http://purl.obolibrary.org/obo/AISM_0002080>	<http://purl.obolibrary.org/obo/RO_0002371>	<http://purl.obolibrary.org/obo/AISM_0002076>
<http://purl.obolibrary.org/obo/AISM_0002039>	<http://purl.obolibrary.org/obo/RO_0002220>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid2477
<http://purl.obolibrary.org/obo/AISM_0004177>	<http://purl.obolibrary.org/obo/RO_0002150>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid4903
<http://purl.obolibrary.org/obo/AISM_0000193>	<http://purl.obolibrary.org/obo/RO_0002008>	<http://purl.obolibrary.org/obo/AISM_0000138>
<http://purl.obolibrary.org/obo/AISM_0000057>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/AISM_0004002>
<http://purl.obolibrary.org/obo/COLAO_0000008>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/AISM_0000061>
<http://purl.obolibrary.org/obo/AISM_0004091>	<http://purl.obolibrary.org/obo/RO_0002220>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid3750
<http://purl.obolibrary.org/obo/COLAO_0000034>	<http://purl.obolibrary.org/obo/RO_0002220>	<http://purl.obolibrary.org/obo/AISM_0000198>
<http://purl.obolibrary.org/obo/COLAO_0000081>	<http://purl.obolibrary.org/obo/BSPO_0000099>	<http://purl.obolibrary.org/obo/AISM_0000042>
<http://purl.obolibrary.org/obo/COLAO_0000073>	<http://purl.obolibrary.org/obo/BFO_0000050>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid6907
<http://purl.obolibrary.org/obo/AISM_0004229>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/AISM_0000169>
<http://purl.obolibrary.org/obo/AISM_0004129>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/AISM_0000173>
<http://purl.obolibrary.org/obo/AISM_0004064>	<http://purl.obolibrary.org/obo/BSPO_0000097>	<http://purl.obolibrary.org/obo/AISM_0004065>
<http://purl.obolibrary.org/obo/AISM_0004174>	<http://purl.obolibrary.org/obo/RO_0002150>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid4849
<http://purl.obolibrary.org/obo/AISM_0004008>	<http://purl.obolibrary.org/obo/AISM_0000079>	<http://purl.obolibrary.org/obo/AISM_0000116>
<http://purl.obolibrary.org/obo/AISM_0004120>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/AISM_0004118>
<http://purl.obolibrary.org/obo/AISM_0000054>	<http://purl.obolibrary.org/obo/RO_0002220>	<http://purl.obolibrary.org/obo/AISM_0000064>
<http://purl.obolibrary.org/obo/AISM_0000052>	<http://purl.obolibrary.org/obo/BFO_0000050>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid606
<http://purl.obolibrary.org/obo/AISM_0004206>	<http://purl.obolibrary.org/obo/RO_0002371>	<http://purl.obolibrary.org/obo/AISM_0000054>
<http://purl.obolibrary.org/obo/AISM_0004022>	<http://purl.obolibrary.org/obo/AISM_0000078>	<http://purl.obolibrary.org/obo/AISM_0000088>
<http://purl.obolibrary.org/obo/AISM_0004187>	<http://purl.obolibrary.org/obo/RO_0002150>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid5081
<http://purl.obolibrary.org/obo/AISM_0000200>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid2061
<http://purl.obolibrary.org/obo/AISM_0000071>	<http://purl.obolibrary.org/obo/AISM_0000079>	<http://purl.obolibrary.org/obo/AISM_0000124>
<http://purl.obolibrary.org/obo/AISM_0004169>	<http://purl.obolibrary.org/obo/AISM_0000079>	<http://purl.obolibrary.org/obo/AISM_0004182>
<http://purl.obolibrary.org/obo/AISM_0000087>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/AISM_0004005>
<http://purl.obolibrary.org/obo/COLAO_0000267>	<http://purl.obolibrary.org/obo/BFO_0000050>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid7938
<http://purl.obolibrary.org/obo/AISM_0000055>	<http://purl.obolibrary.org/obo/RO_0002220>	<http://purl.obolibrary.org/obo/AISM_0000066>
<http://purl.obolibrary.org/obo/AISM_0000019>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/AISM_0000088>
<http://purl.obolibrary.org/obo/AISM_0000048>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/AISM_0000087>
<http://purl.obolibrary.org/obo/COLAO_0000250>	<http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to>	_:Baa70d1afX2D6fa6X2D4dc0X2D97ccX2D7ae39af323f0genid7892
